id;word;art;mean;art_chosen;art_right;art_wrong;categ
418;Option;die;option;;0;0;palavra
419;Tor;das;gateway, door, goal (Sport);;0;0;esporte
420;Spieler;der;player;;0;0;esporte
421;schwierig;;difficult;;0;0;adj/adv
422;abseits;;offside;;0;0;esporte
423;Karte;die;card;;0;0;esporte
424;wechseln;;to change, to exchange;;0;0;verbo
425;ein x aus;;on x off;;0;0;esporte
426;verlassen;;to leave, to desert;;0;0;verbo
427;Eingabe;die;petition, input;;0;0;palavra
428;Stellung;die;position;;0;0;esporte
429;Wechsel;der;change;;0;0;esporte
430;Decke;die;cover, blanket;;0;0;casa
431;Rechte;die;the Right, right side;;0;0;palavra
432;Rechnung;die;calculation, sum, bill;;0;0;palavra
433;Auftrag;der;orders, instructions;;0;0;palavra
434;Anschluss;der;connection;;0;0;palavra
435;Anmeldung;die;enrolment, registration, application;;0;0;palavra
436;anmelden;;to enroll, to register, to make an appointment;;0;0;verbo
437;vergessen;;to forget;;0;0;verbo
438;Restmüll;der;residual waste;;0;0;cidade
439;Rest;der;rest, leftovers;;0;0;palavra
440;Müll;der;rubbish, garbage, waste;;0;0;cidade
441;nutzen;;to use;;0;0;verbo
442;Hit;der;hit (ex: musica);;0;0;musica
443;Halt;der;stop;;0;0;palavra
444;Heim;das;home;;0;0;casa
445;halten;;to hold;;0;0;verbo
446;anstellen;;"to employ; posicionar-se em uma fila (sich)";;0;0;verbo
447;Verbot;das;ban, (banido);;0;0;palavra
448;Nutzer;der;user;;0;0;pessoa
449;Chef;der;boss, leader, head;;0;0;pessoa
450;Firma;die;company, firm;;0;0;trabalho
451;Musikinstrument;das;music instrument;;0;0;musica
452;Klavier;das;piano;;0;0;musica
453;Radio;das;radio;;0;0;musica
454;Fernsehapparat;der;TV;;0;0;casa
455;Kunst;die;art;;0;0;arte
456;Kunstliebhaber;der;art lover;;0;0;arte
457;Porträt;das;portrait;;0;0;arte
458;Fotographie;die;fotography;;0;0;arte
459;Ecke;die;corner, edge;;0;0;palavra
460;Deutschunterricht;der;german class;;0;0;palavra
461;finden;;to find;;0;0;verbo
462;hängen;;to hang;;0;0;verbo
463;schwärmen;;to be crazy about something;;0;0;verbo
464;verstehen;;to understand;;0;0;verbo
465;nah;;near, close, nearby;;0;0;adj/adv
466;näher;;closer;;0;0;adj/adv
467;nun;;now;;0;0;adj/adv
468;spät x früh;;later x early;;0;0;adj/adv
469;auBerordentlich;;extraordinary, exceptionally;;0;0;adj/adv
470;jedoch;;however;;0;0;adj/adv
471;sicher;;safe, secure;;0;0;adj/adv
472;uns;;us, to us;;0;0;preposicao
473;mein;;my;;0;0;preposicao
474;kennen;;to know;;0;0;verbo
475;wissen;;to know (fatos);;0;0;verbo
476;Verlag;der;publishing house;;0;0;palavra
477;fern;;distant, faraway;;0;0;adj/adv
478;Apparat;der;apparatus, appliance;;0;0;casa
479;hinter;;behind;;0;0;adj/adv
480;Unterricht;der;classes;;0;0;palavra
481;plaudern;;to chat, to talk;;0;0;verbo
482;weiter;;further;;0;0;adj/adv
483;Orden;der;order;;0;0;palavra
484;darüber;;over that;;0;0;adj/adv
485;können;;can;;0;0;verbo
486;Natür;die;nature;;0;0;natureza
487;Tinte;die;ink;;0;0;cor
488;Farbe;die;colour;;0;0;cor
489;liegen;;to lie, to be (situar);;0;0;verbo
490;Messe;die;mass;;0;0;palavra
491;SpaB;der;fun, joke, prank;;0;0;palavra
492;Doppelte;das;double;;0;0;palavra
493;Treffer;der;hit, goal (FuBball);;0;0;esporte
494;Sturz;der;fall, drop;;0;0;palavra
495;Schwung;der;swing, leap;;0;0;palavra
496;Brauch;der;custom, tradition (etwas ist ~ = sth is traditional);;0;0;pais
497;Würfel;der;cube;;0;0;palavra
498;würfeln;;to throw;;0;0;verbo
499;Anzahl;die;number;;0;0;palavra
500;Geschmack;der;taste;;0;0;palavra
501;toll;;crazy, wild, fantastic;;0;0;adj/adv
502;enthalten;;to contain;;0;0;verbo
503;Abfahrt;die;departure;;0;0;palavra
504;Säure;die;acid, sourness, acidity;;0;0;comida
505;Friseur;der;hairdresser;;0;0;pessoa
506;Alltag;der;everyday´s life, cotidiano (im ~ = in everyday life);;0;0;tempo
507;Brand;der;fire, (etwas in ~ setzen oder stecken);;0;0;natureza
508;Fernsehen;das;TV;;0;0;casa
509;jemand;;somebody;;0;0;pessoa
510;Weite;die;distance, length, width;;0;0;palavra
511;weiten;;"to widen; to broaden";;0;0;verbo
512;Ordensbruder;der;monk (Kirche);;0;0;pessoa
513;färben;;to colour;;0;0;cor
514;zwischen;;between;;0;0;adj/adv
515;messen;;to measure;;0;0;verbo
516;stürzen;;to fall;;0;0;verbo
517;gewinnen;;"to win; to gain";;0;0;verbo
518;abfahren;;to leave;;0;0;verbo
519;je;;ever, every, each;;0;0;adj/adv
520;Schlitten;der;sledge, sled, toboggan;;0;0;esporte
521;auf den ersten Blick;;at first glance;;0;0;expressao
522;Himmel;der;heaven, sky;;0;0;natureza
523;Durst;der;thirst (~ haben = to be thirsty);;0;0;comida
524;Besondere;das;special, particular, exceptional;;0;0;palavra
525;ganz;;whole, entire, complete;;0;0;adj/adv
526;Bänk;die;bank (FINAZ), bench;;0;0;cidade
527;Durchschnitt;der;average;;0;0;palavra
528;Oase;die;oasis;;0;0;natureza
529;jeder;;each, every;;0;0;adj/adv
530;löschen;;to put out, delete, unload;;0;0;verbo
531;Radler;der;cyclist;;0;0;pessoa
532;Schorle;die;spritzer;;0;0;comida
533;Sprudelwasser;;mineral water, fizzy drink;;0;0;comida
534;Sprudel;der;mineral water, fizzy drink;;0;0;comida
535;selbst;;self;;0;0;pessoa
536;Ausschank;der;bar, pub;;0;0;cidade
537;Besonderheit;die;peculiarity;;0;0;palavra
538;MaBkrug;der;beer mug (one liter);;0;0;comida
539;MaB;das;measure;;0;0;palavra
540;Krug;der;jug (Milchkrug), mug (Bierkrug);;0;0;palavra
541;Tischdecke;die;tablecloth;;0;0;casa
542;Wurst;die;salsicha;;0;0;comida
543;Brotzeit;die;tea break, snack break;;0;0;comida
544;Angst;die;worry, fear;;0;0;palavra
545;mal;;times (MATHE), ;;0;0;adj/adv
546;Kohle;die;coal, carbon (TECH);;0;0;natureza
547;Kohlensäure;die;carbonic, acid (CHEM), fizz (in Getränken);;0;0;natureza
548;Kohl;der;cabbage, nonsense (umg = Unsinn);;0;0;comida
549;sachlich;;factual, practical;;0;0;palavra
550;Postleitzahl;die;zip code;;0;0;cidade
551;Kursraum;der;sala de ginastica;;0;0;esporte
552;Hausmeister;der;house master;;0;0;pessoa
553;leider;;unfortunately;;0;0;adj/adv
554;Kur;die;cure, diet, spa;;0;0;palavra
555;kurz;;short;;0;0;adj/adv
556;Rat;der;advice, council;;0;0;palavra
557;Schnee;der;snow;;0;0;natureza
558;Trauer;die;mourning, sorrow, grief;;0;0;palavra
